Timestamp                       (process)[PID]    
2025-10-14 18:05:45.261646+0300  localhost locationd[7455]: [com.apple.locationd.Position:GeneralCLX] @ClxSimulated, Fix, 1, ll, <private>, <private>, acc, 5.00, course, -1.0, time, 782147146.4, deltaDistance, 0.0, deltaDistanceAccuracy, 0.8, odometer, -1.0, timestampGps, 782147146.4
2025-10-14 18:05:45.261749+0300  localhost locationd[7455]: Created Activity ID: 0x75bd26, Description: CL: notifyClientsWithData (Fallback)
2025-10-14 18:05:45.261770+0300  localhost locationd[7455]: Created Activity ID: 0x75bd27, Description: CL: notifyClientsWithData (Fallback)
2025-10-14 18:05:45.261792+0300  localhost locationd[7455]: Created Activity ID: 0x75bd28, Description: CL: notifyClientsWithData (Fallback)
2025-10-14 18:05:45.261830+0300  localhost locationd[7455]: Created Activity ID: 0x75bd29, Description: CL: notifyClientsWithData (Fallback)
2025-10-14 18:05:45.261839+0300  localhost locationd[7455]: Created Activity ID: 0x75bd2a, Description: CL: notifyClientsWithData (Fallback)
2025-10-14 18:05:45.261844+0300  localhost locationd[7455]: Created Activity ID: 0x75bd2b, Description: CL: notifyClientsWithData (Fallback)
2025-10-14 18:05:45.261847+0300  localhost locationd[7455]: Created Activity ID: 0x75bd2c, Description: CL: notifyClientsWithData (Fallback)
2025-10-14 18:05:45.261890+0300  localhost locationd[7455]: (libsystem_trace.dylib) Created Activity ID: 0x75bd2d, Description: Activity for state dumps
2025-10-14 18:05:45.261889+0300  localhost locationd[7455]: [com.apple.locationd.Position:Position] LocationProvider,Provider controller is notifying clients (notification type=10) of a <0,0> raw coordinate, at location (<+37.78583400,-122.40641700>) of type 1
2025-10-14 18:05:45.261951+0300  localhost locationd[7455]: [com.apple.locationd.Position:GeneralCLX] MovingApDetector, received location: <private>, success: yes
2025-10-14 18:05:45.262018+0300  localhost locationd[7455]: [com.apple.locationd.Position:GeneralCLX] @ClxClient, Fix, 1, ll, <private>, <private>, acc, 5.00, speed, -1.0, course, -1.0, type, 1, alt, 0.0, altunc, -1.0, ellipsoidalAlt, 0.0, speedUnc, -1.0, courseUnc, -1.0, signalEnv, 0, timestamp, 782147145.262
2025-10-14 18:05:45.262124+0300  localhost locationd[7455]: [com.apple.locationd.Core:Core] {"msg":"#pla #zone-relevance-tracker, location notification", "notification":5, "_currentLocation":'00 00 00 00 00 00 00 00', "NewLocation":'00 00 00 00 00 00 00 00'}
2025-10-14 18:05:45.262429+0300  localhost locationd[7455]: [com.apple.locationd.Utility:QA] os_transaction created: (0x16b9379f8) wifi1Event
2025-10-14 18:05:45.262439+0300  localhost locationd[7455]: [com.apple.locationd.Position:WifiPosition] @WifiLogic, handleInput, System::LeechLocation
2025-10-14 18:05:45.262523+0300  localhost locationd[7455]: [com.apple.locationd.Position:WifiPosition] {"msg":"CLWifi1SystemLogic::apply", "event":elapsed, "begin_mach":1446097532528, "end_mach":1446097533583, "elapsed_s":"0.000043958", "event":System::LeechLocation, "now_s":"782147145.262472987"}
2025-10-14 18:05:45.262532+0300  localhost locationd[7455]: [com.apple.locationd.Utility:QA] os_transaction releasing: (0x16b9379f8) wifi1Event
2025-10-14 18:05:45.262543+0300  localhost locationd[7455]: [com.apple.locationd.Utility:QA] os_transaction created: (0x16b9379f8) wifi1Event
2025-10-14 18:05:45.262572+0300  localhost locationd[7455]: [com.apple.locationd.Position:WifiPosition] @WifiLogic, handleInput, System::LeechLocation
2025-10-14 18:05:45.262645+0300  localhost locationd[7455]: [com.apple.locationd.Position:WifiPosition] {"msg":"CLWifi1SystemLogic::apply", "event":elapsed, "begin_mach":1446097535672, "end_mach":1446097536511, "elapsed_s":"0.000034958", "event":System::LeechLocation, "now_s":"782147145.262603045"}
2025-10-14 18:05:45.262664+0300  localhost locationd[7455]: [com.apple.locationd.Utility:QA] os_transaction releasing: (0x16b9379f8) wifi1Event
2025-10-14 18:05:46.267899+0300  localhost locationd[7455]: [com.apple.locationd.Position:GeneralCLX] @ClxSimulated, Fix, 1, ll, <private>, <private>, acc, 5.00, course, -1.0, time, 782147147.4, deltaDistance, 0.0, deltaDistanceAccuracy, 0.8, odometer, -1.0, timestampGps, 782147147.4
2025-10-14 18:05:46.268693+0300  localhost locationd[7455]: Created Activity ID: 0x75bd2e, Description: CL: notifyClientsWithData (Fallback)
2025-10-14 18:05:46.269801+0300  localhost locationd[7455]: Created Activity ID: 0x75bd2f, Description: CL: notifyClientsWithData (Fallback)
2025-10-14 18:05:46.269841+0300  localhost locationd[7455]: Created Activity ID: 0x75beb0, Description: CL: notifyClientsWithData (Fallback)
2025-10-14 18:05:46.269858+0300  localhost locationd[7455]: Created Activity ID: 0x75beb1, Description: CL: notifyClientsWithData (Fallback)
2025-10-14 18:05:46.269870+0300  localhost locationd[7455]: Created Activity ID: 0x75beb2, Description: CL: notifyClientsWithData (Fallback)
2025-10-14 18:05:46.269886+0300  localhost locationd[7455]: Created Activity ID: 0x75beb3, Description: CL: notifyClientsWithData (Fallback)
2025-10-14 18:05:46.269897+0300  localhost locationd[7455]: Created Activity ID: 0x75beb4, Description: CL: notifyClientsWithData (Fallback)
2025-10-14 18:05:46.270146+0300  localhost locationd[7455]: (libsystem_trace.dylib) Created Activity ID: 0x75beb5, Description: Activity for state dumps
2025-10-14 18:05:46.270144+0300  localhost locationd[7455]: [com.apple.locationd.Position:Position] LocationProvider,Provider controller is notifying clients (notification type=10) of a <0,0> raw coordinate, at location (<+37.78583400,-122.40641700>) of type 1
2025-10-14 18:05:46.270674+0300  localhost locationd[7455]: [com.apple.locationd.Position:GeneralCLX] @ClxClient, Fix, 1, ll, <private>, <private>, acc, 5.00, speed, -1.0, course, -1.0, type, 1, alt, 0.0, altunc, -1.0, ellipsoidalAlt, 0.0, speedUnc, -1.0, courseUnc, -1.0, signalEnv, 0, timestamp, 782147146.268
2025-10-14 18:05:46.270843+0300  localhost locationd[7455]: [com.apple.locationd.Position:GeneralCLX] MovingApDetector, received location: <private>, success: yes
2025-10-14 18:05:46.271041+0300  localhost locationd[7455]: [com.apple.locationd.Core:Core] {"msg":"#pla #zone-relevance-tracker, location notification", "notification":5, "_currentLocation":'00 00 00 00 00 00 00 00', "NewLocation":'00 00 00 00 00 00 00 00'}
2025-10-14 18:05:46.271467+0300  localhost locationd[7455]: [com.apple.locationd.Utility:QA] os_transaction created: (0x16b7079f8) wifi1Event
2025-10-14 18:05:46.271491+0300  localhost locationd[7455]: [com.apple.locationd.Position:WifiPosition] @WifiLogic, handleInput, System::LeechLocation
2025-10-14 18:05:46.271665+0300  localhost locationd[7455]: [com.apple.locationd.Position:WifiPosition] {"msg":"CLWifi1SystemLogic::apply", "event":elapsed, "begin_mach":1446121750786, "end_mach":1446121753710, "elapsed_s":"0.000121833", "event":System::LeechLocation, "now_s":"782147146.271504045"}
2025-10-14 18:05:46.271687+0300  localhost locationd[7455]: [com.apple.locationd.Utility:QA] os_transaction releasing: (0x16b7079f8) wifi1Event
2025-10-14 18:05:46.271708+0300  localhost locationd[7455]: [com.apple.locationd.Utility:QA] os_transaction created: (0x16b7079f8) wifi1Event
2025-10-14 18:05:46.271721+0300  localhost locationd[7455]: [com.apple.locationd.Position:WifiPosition] @WifiLogic, handleInput, System::LeechLocation
